Localtime,Receivetime,Week,Seconds,DataCount,PitchRate,RollRate,YawRate,LateralAcc,LongitudinalAcc,VerticalAcc,CrcCheck
2024-02-03_02:04:21,1706925861111262,2299,525879110,1,0.0001454711738932,8.91860039681e-05,0.0003806041521945,-0.0021071217962417,0.000146572595099,0.0017729011318675,3929579823
2024-02-03_02:04:21,1706925861121266,2299,525879120,1,0.0001121446148634,7.44389394129e-05,0.0003937870689323,-0.0018935079099615,-0.0008393166263572,0.001154160699702,689898971
2024-02-03_02:04:21,1706925861130607,2299,525879130,1,0.0001191482063933,8.07954272567e-05,0.0004015131214777,-0.0015950235844934,0.0001676894794799,0.0011943844109885,289185073
2024-02-03_02:04:21,1706925861141346,2299,525879140,2,0.0002495350278718,0.0002138485044545,0.0008083947508141,-0.0041499113199314,-0.0013514271992284,-0.0013973158373926,1209810479
2024-02-03_02:04:21,1706925861151318,2299,525879150,1,0.000154325226213,9.72629037544e-05,0.0004138940130824,-0.0028354344046992,-0.0001770195884154,-0.0001715306368366,2047876345
2024-02-03_02:04:21,1706925861161294,2299,525879160,1,0.0001508758295784,8.43907015807e-05,0.0004258095635259,-0.002279003973764,-0.0007283055094276,0.0002052463764741,418287086
2024-02-03_02:04:21,1706925861171477,2299,525879170,1,0.0001671127677899,9.96938444286e-05,0.0004220944165851,-0.001459236148353,-0.0005983938189868,0.0001217762808981,1385839973
2024-02-03_02:04:21,1706925861180863,2299,525879180,2,0.000344598483077,0.0002439976242759,0.0008271236795544,-0.0056169050858441,-0.0004814296243747,-0.0008872397400533,1319879220
2024-02-03_02:04:21,1706925861191371,2299,525879190,1,0.0001845282904486,0.000112542444172,0.000415385506616,-0.0039396879219805,-0.0004462658246068,-0.0012292148990991,4143928415
2024-02-03_02:04:21,1706925861202118,2299,525879200,1,0.0001788110265942,9.04621181053e-05,0.0004183012151694,-0.0039562868242423,-0.0004021364793065,-0.0011606578461412,410398777
2024-02-03_02:04:21,1706925861211528,2299,525879210,1,0.0001772321553029,5.72050194537e-05,0.0004198975956002,-0.0035592298541364,-0.000560015097934,-0.0003088368828297,1162733319
2024-02-03_02:04:21,1706925861220727,2299,525879220,2,0.0003444208860681,9.78480562903e-05,0.0008322639111175,-0.0055180030617489,-0.0018126947950822,-0.0006625062422818,1143938427
2024-02-03_02:04:21,1706925861231299,2299,525879230,1,0.0001993057035393,6.55918317361e-05,0.0004035747997618,-0.0036226967457306,-0.0010219522662976,-0.0012237044229325,1953053345
2024-02-03_02:04:21,1706925861241324,2299,525879240,1,0.0002130760118091,7.80306559884e-05,0.0003989586020975,-0.0046213468290023,-5.80655820632e-05,-0.0001976222139031,3624109365
2024-02-03_02:04:21,1706925861250754,2299,525879250,1,0.0002334824933016,7.28532117397e-05,0.0003978338081136,-0.0048091717333432,-5.0832863429e-06,0.0003848201359908,2389175044
2024-02-03_02:04:21,1706925861260786,2299,525879260,2,0.000409074948759,0.0001268842803031,0.0007920956227748,-0.0082178468768414,0.0010199282274398,0.0023974057635862,2188051829
2024-02-03_02:04:21,1706925861270688,2299,525879270,1,0.0001419950511909,7.34028003316e-05,0.0003941539698053,-0.0029943657321807,-0.0003882511167991,0.0001305924549795,423014607
2024-02-03_02:04:21,1706925861281420,2299,525879280,1,0.0001432530952079,9.44199584324e-05,0.0003818136952764,-0.002743699606812,-0.0006651523451922,0.0004813694750466,3431003806
2024-02-03_02:04:21,1706925861291541,2299,525879290,1,0.0001393335371253,0.0001197155172369,0.0003692505671754,-0.0035711770363314,-0.0003923772639288,0.0022461802853904,2308939595
2024-02-03_02:04:21,1706925861302502,2299,525879300,2,0.0001631308166449,0.000196826550131,0.0007551626582319,-0.0091396646010116,0.0001796667207481,0.0046731418048602,1515312797
2024-02-03_02:04:21,1706925861311336,2299,525879310,1,3.57857215126e-05,4.81419471452e-05,0.0003883720222191,-0.0033556116213884,-0.0005341129389473,0.0018701173532513,3815669720
2024-02-03_02:04:21,1706925861321314,2299,525879320,1,5.13587185181e-05,4.03550701508e-05,0.0003949647389227,-0.0018937324872671,8.8292274887e-06,0.0021531043251973,2299938996
2024-02-03_02:04:21,1706925861331411,2299,525879330,1,4.43717955948e-05,5.70564759339e-05,0.0003907582554212,-0.0019646600740053,-0.0010812013336284,0.0019479955132753,2088122165
